Detailed Sales Report - Product and Services ALL,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,SKU,Customer,Customer full name,Memo/Description,Quantity,Sales price,Amount,Balance,Full name,Product/Service full name,Payment method,Tracking #,Service date,Ship date
Credit Card Processing,,,,,,,,,,,,,,,,,
Credit Card Processing Fee,,,,,,,,,,,,,,,,,
,07/08/2024,Invoice,1169,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,40.00,40.00,"2,402.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,07/11/2024
,07/22/2024,Invoice,1174,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,35.00,35.00,"2,437.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000330006254,,07/22/2024
,07/24/2024,Invoice,1175,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,11.00,11.00,"2,448.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000330043955,,07/24/2024
,07/26/2024,Invoice,1177,4%,AEP/SWEPCO Tulsa,AEP/SWEPCO - Shreveport:AEP/SWEPCO Tulsa,4% Credit Card Processing Fee,1.00,97.00,97.00,"2,545.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000363789080,,07/26/2024
,07/26/2024,Invoice,1178,4%,Chain Electric,Chain Electric,4% Credit Card Processing Fee,1.00,55.00,55.00,"2,600.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,QuickBooks Payments-Credit Card,,,07/26/2024
,07/26/2024,Invoice,1179,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,35.00,35.00,"2,635.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,07/26/2024,07/29/2024
,07/29/2024,Invoice,1180,4%,NAPA - Mississippi Power Parts,Mississippi Power:Mississippi Power - Fleet:NAPA - Mississippi Power Parts,4% Credit Card Processing Fee,1.00,9.25,9.25,"2,644.36",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,,07/25/2024
,07/29/2024,Invoice,1181,4%,NAPA - Mississippi Power Parts,Mississippi Power:Mississippi Power - Fleet:NAPA - Mississippi Power Parts,4% Credit Card Processing Fee,1.00,835.00,835.00,"3,479.36",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,08/02/2024,07/19/2024
,08/02/2024,Invoice,1184,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,64.00,64.00,"3,543.36",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,08/02/2024,07/30/2024
,08/08/2024,Invoice,1188,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,10.10,10.10,"3,553.46",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000365137584,,08/08/2024
,08/08/2024,Invoice,1189,4%,Summit Line Construction - Nate,Mr. Terry Mayfield:Summit Line Construction - Nate,4% Credit Card Processing Fee,1.00,51.00,51.00,"3,604.46",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000331801357,,08/08/2024
,08/12/2024,Invoice,1191,4%,NAPA - Mississippi Power Parts,Mississippi Power:Mississippi Power - Fleet:NAPA - Mississippi Power Parts,4% Credit Card Processing Fee,1.00,22.00,22.00,"3,626.46",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z9736130173674533,,08/07/2024
,08/13/2024,Invoice,1193,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,13.00,13.00,"3,639.46",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000365311582,,08/13/2024
,08/14/2024,Invoice,1194,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,10.75,10.75,"3,650.21",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000332845353,,08/14/2024
,09/04/2024,Invoice,1200,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,46.00,46.00,"3,696.21",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000367042888,,09/05/2024
,09/04/2024,Invoice,1204,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,10.00,10.00,"3,706.21",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000367051583,,09/05/2024
,09/04/2024,Invoice,1205,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,10.00,10.00,"3,716.21",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000333695059,,09/05/2024
,09/09/2024,Invoice,1207,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,10.00,10.00,"3,726.21",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000334843459,,09/09/2024
,09/09/2024,Invoice,1208,4%,AEP / SWEPCO Fayettville - Brandon,AEP/SWEPCO - Shreveport:AEP / SWEPCO Fayettville - Brandon,4% Credit Card Processing Fee,1.00,10.00,10.00,"3,736.21",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000334843459,,09/09/2024
